PART_ID,Trial_no,Trial_type,PDI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
t2M20,1,training,10,→,right,→,0.7133975001052022,True,30
t2M20,2,training,10,↑,up,↑,0.7414884995669127,True,30
t2M20,3,training,10,↑,up,↑,0.7922646999359131,True,30
t2M20,4,training,10,↓,down,↓,0.8359883995726705,True,30
t2M20,5,training,10,→,right,→,0.6743296999484301,True,30
t2M20,6,training,10,↓,down,↓,0.8121549002826214,True,30
t2M20,7,training,10,←,left,←,0.7058422993868589,True,30
t2M20,8,training,10,↓,down,↓,0.8406098997220397,True,30
t2M20,9,training,10,↑,up,↑,0.8415620001032948,True,30
t2M20,10,training,10,→,right,→,0.7886883998289704,True,30
t2M20,11,training,10,↑,up,↑,0.8677049996331334,True,30
t2M20,12,training,10,→,right,→,0.8137456998229027,True,30
t2M20,13,training,10,←,left,←,0.8478140998631716,True,30
t2M20,14,training,10,→,right,→,0.7109834002330899,True,30
t2M20,15,training,10,↓,down,↓,0.7152283005416393,True,30
t2M20,16,training,10,→,right,→,0.7324350997805595,True,30
t2M20,17,training,10,↓,down,↓,0.7728850999847054,True,30
t2M20,18,training,10,↑,up,↑,0.808206900022924,True,30
t2M20,19,training,10,↑,up,↑,0.6336491005495191,True,30
t2M20,20,training,10,←,left,←,0.4515814995393157,True,30
t2M20,21,training,10,→,right,→,0.5697241006419063,True,18
t2M20,22,training,10,↓,right,→,0.8061044998466969,False,18
t2M20,23,training,10,↑,up,↑,0.7242195997387171,True,18
t2M20,24,training,10,←,no_key,no_letter,-1.0,False,18
t2M20,25,training,10,↓,down,↓,0.6551278000697494,True,18
t2M20,26,training,10,→,right,→,0.5981034999713302,True,18
t2M20,27,training,10,↑,up,↑,0.4175597997382283,True,18
t2M20,28,training,10,↓,down,↓,0.5848599998280406,True,18
t2M20,29,training,10,←,right,→,0.6456720000132918,False,18
t2M20,30,training,10,→,right,→,0.5302404006943107,True,18
t2M20,31,training,96,→,right,→,0.5929791005328298,True,15
t2M20,32,training,48,←,right,→,0.5915387999266386,False,15
t2M20,33,training,120,←,left,←,0.4503378001973033,True,15
t2M20,34,training,156,→,right,→,0.5525937005877495,True,15
t2M20,35,training,72,←,left,←,0.6388867003843188,True,15
t2M20,36,experiment,168,→,no_key,no_letter,-1.0,False,15
t2M20,37,experiment,72,↑,up,↑,0.42133659962564707,True,15
t2M20,38,experiment,120,→,right,→,0.47796810045838356,True,15
t2M20,39,experiment,12,↑,right,→,0.7035309001803398,False,15
t2M20,40,experiment,48,→,right,→,0.578574899584055,True,15
t2M20,41,experiment,36,↑,up,↑,0.5082006994634867,True,15
t2M20,42,experiment,144,→,right,→,0.6036399006843567,True,15
t2M20,43,experiment,72,←,left,←,0.48743650037795305,True,15
t2M20,44,experiment,156,↓,right,→,0.5954810995608568,False,15
t2M20,45,experiment,24,←,right,→,0.6533901002258062,False,15
t2M20,46,experiment,12,←,left,←,0.5019339993596077,True,15
t2M20,47,experiment,12,←,right,→,0.6328543005511165,False,15
t2M20,48,experiment,120,←,right,→,0.5938861994072795,False,15
t2M20,49,experiment,84,↑,up,↑,0.6980749005451798,True,15
t2M20,50,experiment,120,↑,up,↑,0.6646888004615903,True,15
t2M20,51,experiment,36,→,right,→,0.5272067002952099,True,15
t2M20,52,experiment,108,→,right,→,0.4279073001816869,True,15
t2M20,53,experiment,156,↑,up,↑,0.4301052000373602,True,15
t2M20,54,experiment,156,↑,up,↑,0.6367546003311872,True,15
t2M20,55,experiment,12,↑,right,→,0.9417351000010967,False,15
t2M20,56,experiment,168,←,right,→,0.4782662997022271,False,15
t2M20,57,experiment,84,→,right,→,0.856428500264883,True,15
t2M20,58,experiment,96,↓,down,↓,0.5780351003631949,True,15
t2M20,59,experiment,60,↓,down,↓,0.6098643001168966,True,15
t2M20,60,experiment,108,↓,down,↓,0.5833078995347023,True,15
t2M20,61,experiment,108,↑,down,↓,0.7345955995842814,False,15
t2M20,62,experiment,180,↑,down,↓,0.6107599996030331,False,15
t2M20,63,experiment,96,→,right,→,0.4569063000380993,True,15
t2M20,64,experiment,48,↑,up,↑,0.6288548000156879,True,15
t2M20,65,experiment,60,→,right,→,0.7019031997770071,True,15
t2M20,66,experiment,168,↓,up,↑,0.6744430996477604,False,15
t2M20,67,experiment,84,→,right,→,0.7857854999601841,True,15
t2M20,68,experiment,120,↑,up,↑,0.5463501000776887,True,15
t2M20,69,experiment,24,←,right,→,0.6934684002771974,False,15
t2M20,70,experiment,48,↑,up,↑,0.7254814002662897,True,15
t2M20,71,experiment,132,↓,right,→,0.6696105999872088,False,15
t2M20,72,experiment,48,↓,up,↑,0.9919626004993916,False,15
t2M20,73,experiment,84,↑,up,↑,0.5625242004171014,True,15
t2M20,74,experiment,156,↑,right,→,0.9828424993902445,False,15
t2M20,75,experiment,24,←,up,↑,1.3213242003694177,False,15
